,MeanAccX,MedianAccX,MaxAccX,MinAccX,1stQuartileAccX,2ndQuartileAccX,3rdQuartileAccX,DeltaMinMaxAccX,StdDevAccX,MeanDiffAccX,MedianDiffAccX,MaxDiffAccX,MinDiffAccX,1stQuartileDiffAccX,2ndQuartileDiffAccX,3rdQuartileDiffAccX,DeltaMinMaxDiffAccX,StdDevDiffAccX,MeanAccY,MedianAccY,MaxAccY,MinAccY,1stQuartileAccY,2ndQuartileAccY,3rdQuartileAccY,DeltaMinMaxAccY,StdDevAccY,MeanDiffAccY,MedianDiffAccY,MaxDiffAccY,MinDiffAccY,1stQuartileDiffAccY,2ndQuartileDiffAccY,3rdQuartileDiffAccY,DeltaMinMaxDiffAccY,StdDevDiffAccY,MeanAccZ,MedianAccZ,MaxAccZ,MinAccZ,1stQuartileAccZ,2ndQuartileAccZ,3rdQuartileAccZ,DeltaMinMaxAccZ,StdDevAccZ,MeanDiffAccZ,MedianDiffAccZ,MaxDiffAccZ,MinDiffAccZ,1stQuartileDiffAccZ,2ndQuartileDiffAccZ,3rdQuartileDiffAccZ,DeltaMinMaxDiffAccZ,StdDevDiffAccZ,SourceFile,Category
15,-0.0840843636172358,-0.13048399984836578,0.8667010068893433,-0.9864110946655273,-0.4429273009300232,-0.13048399984836578,0.29478609561920166,1.8531121015548706,0.4273500514304398,-0.00012370042130351066,0.0628477931022644,1.2928689122200012,-1.516726791858673,-0.4683656878769398,0.0628477931022644,0.49799393489956856,2.8095957040786743,0.6114776672417268,0.2825453287868295,0.2974795699119568,0.6320692300796509,-0.243011474609375,0.152031809091568,0.2974795699119568,0.4189853072166443,0.8750807046890259,0.17107520931186757,9.736420710881552e-05,0.023942019790410995,0.7122749984264374,-0.6667851507663727,-0.18914193008095026,0.023942019790410995,0.1759738326072693,1.37906014919281,0.2611184386892883,9.678383197466532,9.679757118225098,10.268731117248535,9.066842079162598,9.509769439697266,9.679757118225098,9.84256362915039,1.2018890380859375,0.22885006709557096,7.422033945719401e-05,0.022745132446289062,0.712275505065918,-0.8798694610595703,-0.22266006469726562,0.022745132446289062,0.23822307586669922,1.5921449661254883,0.3118063151735539,./Data/Curated/HeavyLoad/Experiment8.csv,HeavyLoad
10,-0.08676706665622382,-0.07661445438861847,0.8044517636299133,-1.0582371950149536,-0.39145198464393616,-0.07661445438861847,0.22625206410884857,1.862688958644867,0.4113480106155169,-0.0002015119691689809,-0.023942017927765846,1.766920804977417,-1.5921441316604614,-0.5183446723967791,-0.023942017927765846,0.510264259763062,3.3590649366378784,0.6745286850569968,0.27587109252111985,0.25318682193756104,0.7230489253997803,-0.0586579404771328,0.14484919607639313,0.25318682193756104,0.3878606855869293,0.7817068658769131,0.17877348492421768,7.222508887449901e-05,0.02274489402770996,0.6476315446197987,-0.7218518033623695,-0.18555064499378204,0.02274489402770996,0.1999158412218094,1.3694833479821682,0.2714297099651367,9.676225629488627,9.677363395690918,10.159794807434082,9.209297180175781,9.560047149658203,9.677363395690918,9.81143856048584,0.9504976272583008,0.17529082008170846,-9.417184193929037e-05,-0.011971473693847656,0.618901252746582,-0.7038946151733398,-0.18555068969726562,-0.011971473693847656,0.20470428466796875,1.3227958679199219,0.25561269401232467,./Data/Curated/HeavyLoad/Experiment3.csv,HeavyLoad
4,-0.08986476453890403,-0.08978256583213806,-0.07302315533161163,-0.10654197633266449,-0.0933738648891449,-0.08978256583213806,-0.08619125932455063,0.033518821001052856,0.005088167574098095,1.5961329142252604e-06,0.0,0.023942016065120697,-0.02274491637945175,-0.004788406193256378,0.0,0.004788406193256378,0.04668693244457245,0.007119458264083726,0.1521243840207656,0.152031809091568,0.16639702022075653,0.1364694982767105,0.1496376097202301,0.152031809091568,0.15562310814857483,0.02992752194404602,0.004406327376776682,-2.793237566947937e-06,0.0,0.023942023515701294,-0.021547824144363403,-0.004788398742675781,0.0,0.004788398742675781,0.0454898476600647,0.006263339452364074,9.69172208627065,9.691728591918945,9.72165584564209,9.66419506072998,9.68813705444336,9.691728591918945,9.695320129394531,0.057460784912109375,0.006502637512537294,-3.5912195841471355e-06,0.0,0.039504051208496094,-0.050278663635253906,-0.005985260009765625,0.0,0.005985260009765625,0.08978271484375,0.009522446291342471,./Data/Curated/Off/Experiment5.csv,Off
13,-0.08093319531584468,-0.07062894850969315,0.7972691655158997,-0.9409212470054626,-0.34745851159095764,-0.07062894850969315,0.14484919607639313,1.7381904125213623,0.3580298792472543,-0.00023183853675921758,-0.10354923270642757,1.4245499968528748,-0.9911995083093643,-0.4034229936078191,-0.10354923270642757,0.3100491315126419,2.415749505162239,0.5258646960405005,0.2818346498476652,0.2753331959247589,0.5758054852485657,-0.004788403399288654,0.20111294090747833,0.2753331959247589,0.35913026332855225,0.5805938886478543,0.12261991462651889,0.00010295067230860393,0.001795649528503418,0.5363011658191681,-0.4070142973214388,-0.16071080043911934,0.001795649528503418,0.138863705098629,0.9433154631406069,0.19315902287164638,9.685947282473247,9.676166534423828,10.189722061157227,9.257181167602539,9.5624418258667,9.676166534423828,9.803058624267578,0.9325408935546875,0.17167958544806425,-6.34463628133138e-05,0.0035905838012695312,0.5841856002807617,-0.6045351028442383,-0.17597389221191406,0.0035905838012695312,0.18555068969726562,1.188720703125,0.2410421396131662,./Data/Curated/HeavyLoad/Experiment6.csv,HeavyLoad
22,-0.08700688577474405,-0.08798691257834435,0.8918401598930359,-1.1073182821273804,-0.49559974670410156,-0.08798691257834435,0.31603461503982544,1.9991584420204163,0.47978578403324795,1.1172940333684285e-05,-0.013168111443519592,1.4041992723941803,-1.4018051028251648,-0.7170634297654033,-0.013168111443519592,0.7445967071689665,2.806004375219345,0.7844384565659261,0.28670804744865747,0.3124433159828186,0.6416460275650024,-0.04908113554120064,0.15682020783424377,0.3124433159828186,0.395043283700943,0.6907271631062031,0.15793979421338855,2.7134289344151816e-05,0.023343458771705627,0.5159504767507315,-0.6607996411621571,-0.16071080416440964,0.023343458771705627,0.17357966303825378,1.1767501179128885,0.23057223598950258,9.669118028004965,9.677363395690918,10.097545623779297,9.214085578918457,9.582792282104492,9.677363395690918,9.757569313049316,0.8834600448608398,0.12945691998554743,1.5562375386555988e-05,0.004788398742675781,0.46088314056396484,-0.5482730865478516,-0.11970996856689453,0.004788398742675781,0.13198065757751465,1.0091562271118164,0.18166432520996623,./Data/Curated/LightLoad/Experiment7.csv,LightLoad
17,-0.08789912512712181,-0.07661445438861847,0.18794482946395874,-0.36990416049957275,-0.1604115068912506,-0.07661445438861847,-0.0035913025494664907,0.5578489899635315,0.10100094455970306,7.302315160632134e-05,0.0,0.49559974670410156,-0.46327802538871765,-0.1161187831312418,0.0,0.12120646564289927,0.9588777720928192,0.17498383984505692,0.26526278418209404,0.2717418968677521,0.5913678407669067,0.004788403399288654,0.21787235140800476,0.2717418968677521,0.31842881441116333,0.5865794373676181,0.0805142793146565,-2.7533317605654398e-05,-0.0011970996856689453,0.414196889847517,-0.40940848365426064,-0.07781154289841652,-0.0011970996856689453,0.07781154289841652,0.8236053735017776,0.13806110778046166,9.666312427202861,9.673771858215332,10.047266960144043,9.242815971374512,9.603142738342285,9.673771858215332,9.736021041870117,0.8044509887695312,0.09691888525234162,2.5139172871907552e-05,-0.0011968612670898438,0.5734109878540039,-0.4513072967529297,-0.06703758239746094,-0.0011968612670898438,0.06703758239746094,1.0247182846069336,0.15617118295212531,./Data/Curated/LightLoad/Experiment2.csv,LightLoad
1,-0.09054870813836655,-0.090979665517807,-0.07422025501728058,-0.10654197633266449,-0.0933738648891449,-0.090979665517807,-0.08738835901021957,0.03232172131538391,0.004770767459132823,-4.389370481173198e-06,0.0,0.023942016065120697,-0.02274491637945175,-0.004788398742675781,0.0,0.004788398742675781,0.04668693244457245,0.006464200880224912,0.14609578432142734,0.14604631066322327,0.16400282084941864,0.13287819921970367,0.14365209639072418,0.14604631066322327,0.1496376097202301,0.031124621629714966,0.004585254383653116,-1.9951711098353067e-06,0.0,0.02154780924320221,-0.020350709557533264,-0.004788398742675781,0.0,0.00359131395816803,0.041898518800735474,0.00616220339894884,9.692769158681234,9.691728591918945,9.72165584564209,9.672574996948242,9.68933391571045,9.691728591918945,9.696516990661621,0.049080848693847656,0.005761846805708007,-2.394358317057292e-06,0.0,0.02992725372314453,-0.02992725372314453,-0.004788398742675781,0.0,0.004788398742675781,0.05985450744628906,0.008028098583827753,./Data/Curated/Off/Experiment2.csv,Off
18,-0.08689076693348276,-0.08499415963888168,0.14006079733371735,-0.2968810200691223,-0.13168109953403473,-0.08499415963888168,-0.03232172131538391,0.43694181740283966,0.07263893319148677,-6.783572336037954e-06,0.0,0.3555389419198036,-0.3627215474843979,-0.07062894850969315,0.0,0.0694318488240242,0.7182604894042015,0.12903972794284585,0.2689346914555257,0.272938996553421,0.5817909836769104,0.0011971008498221636,0.23702596127986908,0.272938996553421,0.3064578175544739,0.5805938828270882,0.05473320141329314,1.4365211129188538e-05,0.0,0.32800563471391797,-0.3124433159828186,-0.04548981785774231,0.0,0.04309561848640442,0.6404489506967366,0.09143297485304248,9.668402576128642,9.670180320739746,9.882067680358887,9.469067573547363,9.62828254699707,9.670180320739746,9.710882186889648,0.41300010681152344,0.064810581608493,-3.989537556966146e-07,-0.0005984306335449219,0.3172311782836914,-0.2873039245605469,-0.06464290618896484,-0.0005984306335449219,0.0673367977142334,0.6045351028442383,0.10294950509002912,./Data/Curated/LightLoad/Experiment3.csv,LightLoad
2,-0.08992262443403402,-0.08978256583213806,-0.06703764945268631,-0.11013327538967133,-0.0933738648891449,-0.08978256583213806,-0.08619125932455063,0.043095625936985016,0.004938721678695056,3.9903571208318077e-07,0.0,0.027533315122127533,-0.0347159206867218,-0.004788398742675781,0.0,0.004788398742675781,0.062249235808849335,0.006761903306088805,0.14781162931521732,0.14844051003456116,0.16519992053508759,0.12689268589019775,0.14484919607639313,0.14844051003456116,0.15083470940589905,0.03830723464488983,0.004446596684130141,-7.980664571126302e-07,0.0,0.019153624773025513,-0.020350709557533264,-0.00359131395816803,0.0,0.004788398742675781,0.03950433433055878,0.0060722545575145935,9.691815464019776,9.691728591918945,9.716867446899414,9.670180320739746,9.68813705444336,9.691728591918945,9.695320129394531,0.04668712615966797,0.005834108844254781,-2.793312072753906e-06,0.0,0.02992725372314453,-0.02992725372314453,-0.004788398742675781,0.0,0.004788398742675781,0.05985450744628906,0.008253594612883905,./Data/Curated/Off/Experiment3.csv,Off
12,-0.07892525805579498,-0.07422025501728058,0.7960720658302307,-0.9409212470054626,-0.35434186458587646,-0.07422025501728058,0.157119482755661,1.7369933128356934,0.3688547394817301,-0.0001628057062625885,-0.11731589213013649,1.4879963397979736,-0.9624690860509872,-0.41778818145394325,-0.11731589213013649,0.32231940515339375,2.450465425848961,0.5444841554115664,0.28305968327471054,0.2777273952960968,0.608127236366272,-0.0035913025494664907,0.1999158412218094,0.2777273952960968,0.3579331636428833,0.6117185389157385,0.12643510507455868,5.7061806321144105e-05,0.0,0.5554548054933548,-0.4967968361452222,-0.16879122145473957,0.0,0.14036008343100548,1.052251641638577,0.20014317959297068,9.685770515441895,9.677363395690918,10.394426345825195,9.211690902709961,9.563638687133789,9.677363395690918,9.798270225524902,1.1827354431152344,0.17296666875924388,-2.5538126627604166e-05,0.008379936218261719,0.6991062164306641,-0.8236045837402344,-0.18435382843017578,0.008379936218261719,0.19153594970703125,1.5227108001708984,0.24399987571629145,./Data/Curated/HeavyLoad/Experiment5.csv,HeavyLoad
3,-0.09044416135549545,-0.090979665517807,-0.07422025501728058,-0.10654197633266449,-0.0933738648891449,-0.090979665517807,-0.08738835901021957,0.03232172131538391,0.004969958992410917,0.0,0.0,0.021547816693782806,-0.023942016065120697,-0.004788398742675781,0.0,0.004788406193256378,0.0454898327589035,0.006923875317987157,0.15028404148419697,0.15083470940589905,0.16519992053508759,0.13407529890537262,0.1472434103488922,0.15083470940589905,0.15322890877723694,0.031124621629714966,0.004553163526418547,7.980664571126302e-07,0.0,0.017956510186195374,-0.019153624773025513,-0.00359131395816803,0.0,0.00359131395816803,0.037110134959220886,0.006124515560587664,9.690967116355896,9.690531730651855,9.724050521850586,9.671378135681152,9.68694019317627,9.690531730651855,9.694122314453125,0.052672386169433594,0.005948725204926629,-1.197179158528646e-06,0.0,0.04668712615966797,-0.031124114990234375,-0.004788398742675781,0.0,0.004788398742675781,0.07781124114990234,0.008422870886446457,./Data/Curated/Off/Experiment4.csv,Off
19,-0.08609828629593054,-0.08978256583213806,0.28371289372444153,-0.5434837937355042,-0.1604115068912506,-0.08978256583213806,-0.017956512048840523,0.8271966874599457,0.11421716932547159,1.556231128051877e-05,0.0011971043422818184,0.7852981686592102,-0.577002614736557,-0.11013327760156244,0.0011971043422818184,0.1065419769147411,1.3623007833957672,0.1774769469058185,0.27022476675361395,0.27054479718208313,0.5973533391952515,0.013168109580874443,0.2190694510936737,0.27054479718208313,0.3172317147254944,0.584185229614377,0.07512771393871541,-9.17777419090271e-06,0.0,0.4046200904995203,-0.42616790533065796,-0.0802057571709156,0.0,0.0802057683467865,0.8307879958301783,0.1158793480479009,9.669449635187785,9.668983459472656,10.031704902648926,9.340977668762207,9.612719535827637,9.668983459472656,9.728838920593262,0.6907272338867188,0.08975186662275265,-4.788398742675781e-06,0.0,0.5039796829223633,-0.4967966079711914,-0.08499431610107422,0.0,0.08379673957824707,1.0007762908935547,0.1423327690535168,./Data/Curated/LightLoad/Experiment4.csv,LightLoad
